,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
599,Garopaba,SC,495.83345724907036,526.7479452054797,512.8513698630143,541.5828996282528,570.9589041095891
600,Garça,SP,497.66410256410273,521.7077858880779,511.9167883211682,548.7605128205124,637.8588807785889
601,Getúlio Vargas,RS,492.44485981308407,514.9347305389223,495.30568862275413,532.0806853582554,610.6586826347306
602,Girau do Ponciano,AL,460.78724279835353,479.9491458607097,457.043232588699,489.0794238683123,605.6241787122208
603,Giruá,RS,490.4991379310346,509.09917355371886,500.4760330578512,526.946551724138,606.9421487603306
604,Glória do Goitá,PE,466.57060869565214,479.01655405405444,470.10388513513504,490.0994782608699,589.3243243243244
605,Goiana,PE,468.0182916307158,488.23381995133815,476.0021086780209,505.129939603106,588.4347120843471
606,Goianinha,RN,468.19577922077946,499.2030627871366,484.826033690658,502.0938311688312,605.5130168453293
607,Goianira,GO,465.3956399437412,495.3477003942187,479.5098554533506,500.61547116736955,575.137976346912
608,Goianésia,GO,481.6703768624016,504.32136963696377,490.4142739273926,526.6810692375102,618.7293729372938
609,Goianésia do Pará,PA,461.55987654320984,493.7617647058823,473.2764705882354,479.9882716049384,554.3529411764706
610,Goiatuba,GO,485.8521091811411,510.19000000000017,495.6766666666667,534.6563275434241,605.5555555555555
611,Goioerê,PR,490.01827956989257,516.1212121212121,502.26515151515144,526.7123655913981,593.8888888888889
612,Goiás,GO,470.31943371943373,498.91512915129175,485.4488314883149,497.5656370656368,575.3013530135302
613,Goiânia,GO,511.4331590970682,540.4746634297067,519.6842786728452,558.5263058040024,666.8667696608549
614,Governador Mangabeira,BA,465.152380952381,484.78154613466353,462.5329177057353,486.02656641604034,588.7281795511221
615,Governador Nunes Freire,MA,440.6088607594936,455.0057851239669,443.43801652892563,461.29620253164575,527.603305785124
616,Governador Valadares,MG,504.4586243954868,533.0192307692316,518.4384102564102,561.1351423965593,654.5128205128206
617,Grajaú,MA,454.403902439025,469.5978384527865,451.247781569966,475.30914634146353,556.518771331058
618,Granja,CE,448.6262626262624,467.8573976915006,458.274186778594,483.70852974186334,515.781741867786
619,Gravataí,RS,498.5106750392461,536.6386797066011,519.3845476772619,537.6747252747242,598.083129584352
620,Gravatá,PE,479.6098641887065,505.51942347288906,492.5308167467398,522.975196568978,615.7995881949211
621,Guajará-Mirim,RO,455.07879146919424,476.1414928649833,465.1209659714599,481.0970379146918,514.1602634467617
622,Guanambi,BA,479.963697813122,501.78242884250596,483.24740037950545,518.7549900596418,627.3244781783682
623,Guanhães,MG,499.5299474605952,527.5595925297114,505.57096774193485,554.8105078809103,634.5670628183361
624,Guapimirim,RJ,490.9972644376898,523.6508426966295,511.8446629213484,525.2367781155015,606.9101123595506
625,Guaporé,RS,509.5293981481482,537.307709251102,521.7337004405285,556.8423611111107,637.3568281938326
626,Guarabira,PB,471.2690022172948,494.82211333617306,475.1895611418834,503.73915742793855,608.7175117170856
627,Guaraciaba do Norte,CE,464.75494949494976,489.9354745925219,476.6971236816874,508.8290909090904,608.1687440076702
628,Guaramirim,SC,501.10049019607794,525.896860986547,499.3242152466369,546.2495098039215,594.9775784753364
629,Guarantã do Norte,MT,494.18258706467645,514.5954337899542,496.3890410958901,528.5656716417911,581.4611872146119
630,Guarapari,ES,503.46007633587834,528.9307582260368,514.9671673819737,547.6873282442747,618.5407725321888
631,Guarapuava,PR,493.5582137899118,521.6973350808219,503.94775010921796,527.616288755207,591.5159458278724
632,Guararapes,SP,505.47781250000014,537.7059171597632,525.7307692307696,564.60375,632.1301775147929
633,Guaratinguetá,SP,530.1203278688525,562.4639999999996,543.8866666666668,593.1712568306016,650.748717948718
634,Guaratuba,PR,493.3284644194756,525.5762886597937,506.58384879725116,536.9861423220975,583.7800687285223
635,Guaraí,TO,454.2560846560846,470.05470297029734,459.88539603960396,479.62579365079324,583.7871287128713
636,Guarujá,SP,493.1670294494236,526.6257244234173,513.7063276167949,538.7884763124199,594.5239503252513
637,Guarulhos,SP,499.0486923911946,536.6266360397525,521.5134258391168,550.2856903187624,611.7232327020439
638,Guaxupé,MG,516.3403348554035,547.0683526011559,526.5169075144513,580.9401826484014,643.4971098265896
639,Guaçuí,ES,501.6749999999998,521.1900423728815,499.6567796610169,549.5787280701755,607.542372881356
640,Guaíba,RS,486.8799625468162,522.8101211072658,505.9436851211075,517.7817415730335,580.0173010380623
641,Guaíra,PR,479.4699218749997,497.9949549549555,490.03261261261247,522.645703125,569.8018018018018
642,Guaíra,SP,500.85406824146963,524.4776942355892,515.9170426065166,563.3181102362204,636.8421052631579
643,Guiratinga,MT,462.9492857142856,481.4744966442953,471.244966442953,501.4078571428571,575.1677852348994
644,Gurupi,TO,489.3979591836743,507.7984705025494,490.42767662053916,524.9529827315549,607.2541879096868
645,Hidrolândia,CE,476.05365853658526,489.18361204013394,485.3969899665548,512.1351916376307,598.3946488294314
646,Horizonte,CE,469.9418143899898,510.3112774451099,497.2590818363279,512.4041710114705,584.9101796407185
647,Horizontina,RS,510.72780082987583,534.0556862745099,517.8560784313726,565.813692946058,618.8235294117648
648,Hortolândia,SP,495.33850303438993,534.299620972836,519.2481996209729,547.1972353337832,608.0732785849652
649,Humaitá,AM,448.07245841035115,461.4911222780566,449.01591289782226,467.95304990757916,492.12730318257957
650,Humberto de Campos,MA,433.0096774193551,458.53431952662714,437.8094674556214,460.0703225806449,553.2544378698225
651,Ibaiti,PR,483.4138381201048,510.07077294686025,499.6154589371979,521.1720626631851,574.2995169082126
652,Ibaté,SP,485.3659649122811,523.9123333333326,504.0193333333337,527.0115789473683,590.0
653,Ibiapina,CE,469.3322727272726,489.0959051724137,478.34439655172423,499.8788636363634,572.0258620689655
654,Ibicaraí,BA,457.67896440129425,477.33888024883373,472.8323483670291,488.02977346278254,591.3219284603422
655,Ibimirim,PE,453.9901234567901,473.4158357771264,464.040762463343,492.48487654320996,524.3988269794721
656,Ibiporã,PR,501.481286549708,529.0570895522384,511.7369402985075,542.1783625730994,589.2537313432836
657,Ibirité,MG,496.07175627240076,532.3706083390293,508.43028024607,537.3789247311829,601.9412166780588
658,Ibitinga,SP,512.9949191685913,538.6552863436124,528.9696035242293,568.9542725173212,637.4008810572687
659,Ibititá,BA,468.9783216783221,494.4651006711409,471.3655480984345,507.90372960373,600.4474272930648
660,Ibiúna,SP,500.82114427860677,532.9206572769951,517.7072769953054,547.323383084577,609.4835680751173
661,Ibotirama,BA,460.6854961832067,475.79550359712215,457.1262589928055,496.5572519083971,578.9208633093525
662,Icapuí,CE,461.9306818181815,483.75284552845534,477.66097560975606,502.8014204545454,564.9864498644987
663,Icatu,MA,448.39868708971574,461.9577083333336,446.68562499999956,467.529102844639,559.4166666666666
664,Icó,CE,458.4828415300545,480.76027111574535,469.64838373305525,494.9293989071036,555.70385818561
665,Igaci,AL,466.36850152905225,484.02011661807614,460.0102040816325,494.3033639143732,597.6093294460642
666,Igarapé,MG,498.53688118811874,528.1701631701636,512.4118881118883,546.2633663366338,619.2540792540792
667,Igarapé-Açu,PA,451.153614457831,473.96375711574956,449.1159392789377,474.6752008032129,575.0284629981024
668,Igarapé-Miri,PA,441.98791574279346,460.7929411764704,442.6878074866307,466.94645232815947,554.8877005347593
669,Igarassu,PE,471.48185140073065,498.34334689134187,484.88378849506046,508.0204628501827,577.6409064497385
670,Igrejinha,RS,492.33576388888923,531.2945512820509,516.9141025641018,538.0510416666668,605.2564102564103
671,Iguaba Grande,RJ,491.45783972125423,521.2196013289035,506.1279069767438,531.2306620209064,623.4551495016611
672,Iguape,SP,490.837800687285,524.9898360655741,514.9363934426231,535.7247422680409,595.8688524590164
673,Iguatu,CE,478.6344583560146,501.4919057377049,491.45112704918006,524.6477408818731,608.1454918032787
674,Ijuí,RS,515.5622813156048,541.067175066313,518.8868037135271,563.1061581525544,646.3527851458886
675,Ilha Solteira,SP,508.2930091185409,537.3387283236993,519.8812138728321,557.9638297872341,594.8554913294797
676,Ilhabela,SP,496.05000000000024,519.0599999999998,518.1217647058824,531.7696202531645,589.4117647058823
677,Ilhéus,BA,485.10480188045653,509.7633354350578,495.65015762925674,517.2438885157819,606.1790668348045
678,Imbituba,SC,504.832299741602,527.0592417061613,508.7040284360192,544.0149870801034,612.8909952606635
679,Imbé,RS,491.8074468085105,522.6063414634148,508.99463414634135,538.6000000000001,585.3658536585366
680,Imperatriz,MA,484.23828963051164,507.7349755073484,489.3327221833434,520.2717520858166,628.9517144856543
681,Inconfidentes,MG,505.43322784810124,539.9662613981764,516.5082066869297,566.5547468354432,658.2978723404256
682,Indaial,SC,505.7475274725275,535.7997448979596,509.16505102040844,549.9568681318684,591.3775510204082
683,Indaiatuba,SP,523.3452009456258,550.4699551569529,535.1829596412562,580.8131442080377,651.542600896861
684,Independência,CE,448.47242152466345,472.072234273319,460.5173535791754,491.36233183856524,520.5639913232104
685,Indiaroba,SE,441.38099999999986,454.11047619047616,441.86142857142875,453.0080000000001,515.2380952380952
686,Ingá,PB,457.3005535055348,477.1101063829786,462.9404255319146,487.76660516605125,600.3191489361702
687,Inhambupe,BA,457.0156750572084,476.56826815642523,460.94569832402243,476.4878718535466,578.1675977653631
688,Inhapim,MG,491.5948024948023,516.1620481927704,497.3925702811245,539.3313929313929,627.0682730923695
689,Inhumas,GO,486.39113924050656,512.8529999999998,496.06699999999995,533.7081223628692,631.18
690,Ipameri,GO,484.5991279069765,510.1833333333339,498.0663888888888,519.4360465116279,619.7777777777778
691,Ipanguaçu,RN,456.9330472103004,470.6184426229508,457.50696721311505,479.47081545064356,574.8360655737705
692,Ipatinga,MG,525.6581021087679,552.9476838523947,532.4420047108093,590.1357935627078,694.4255430515572
693,Ipiaú,BA,469.1206199460909,491.69385113268663,477.69223300970964,497.5929919137468,596.906148867314
694,Ipirá,BA,461.1120867768599,488.38687068114444,468.67472852912175,495.98047520661163,600.4738400789734
695,Ipixuna,AM,448.50135135135145,448.22738095238094,437.11785714285725,465.714864864865,519.047619047619
696,Ipojuca,PE,464.84630606860173,489.81058530510575,477.27820672478174,500.78667546174125,566.0772104607721
697,Iporá,GO,480.12210884353783,503.90964247020605,488.6047670639221,521.3579365079366,606.5655471289274
698,Ipu,CE,464.2683778234087,488.03124999999983,474.1435546875005,502.32494866529794,571.50390625
699,Ipueiras,CE,456.6773109243696,480.4159999999998,463.09119999999905,488.80184873949565,558.912
700,Iracema,CE,449.46934865900346,476.52007434944244,467.95464684014854,483.8444444444439,533.3828996282527
701,Iranduba,AM,446.48382978723413,470.5241379310344,446.86264367816125,468.7621276595746,481.37931034482756
702,Iraquara,BA,463.077471264368,483.67379912663773,470.2655021834064,497.9572413793098,599.650655021834
703,Irará,BA,461.2797419354834,474.8074390243898,461.53573170731704,476.51780645161404,570.1951219512196
704,Irati,PR,495.0562913907293,526.1599365750529,506.2395348837209,535.4825607064021,603.9112050739958
705,Irauçuba,CE,457.2990990990991,483.3851648351654,469.915659340659,506.9207207207206,567.8021978021978
706,Irecê,BA,491.5824068417832,523.3255718475073,501.387038123167,536.5704337202212,647.741935483871
707,Itabaiana,PB,461.25891393442686,481.2487077534791,465.4587475149097,486.6777663934429,595.6461232604373
708,Itabaiana,SE,485.9098307526117,512.7207075962543,485.63687131460347,527.2054735325906,661.9701699618453
709,Itabaianinha,SE,453.35617469879537,479.12960339943317,465.7029745042488,496.7525602409637,626.600566572238
710,Itabela,BA,453.17242990654205,481.9469298245619,460.82324561403516,484.3205607476636,583.0701754385965
711,Itaberaba,BA,466.7413496051691,491.0215789473687,479.5819078947369,495.5020818377596,585.4868421052631
712,Itaberaí,GO,476.18370370370377,499.8468706536858,487.6157162726007,520.715703703704,626.8706536856746
713,Itabira,MG,504.1829317269075,538.5964990451937,515.3723106301721,562.0454484605087,651.0375556970083
714,Itabirito,MG,514.6934210526315,545.3469945355189,524.7489981785066,580.5453007518794,660.2550091074681
715,Itaboraí,RJ,479.9153174140943,509.94230769230796,496.55184182015137,512.2329062317989,616.2296858071506
716,Itabuna,BA,489.9203380281694,517.1411513859276,500.95748933901837,518.6798028169023,616.9616204690832
717,Itacajá,TO,437.2126984126985,446.48686131386853,431.1715328467153,457.8015873015873,501.8978102189781
718,Itacarambi,MG,454.44134275618404,464.31693811074916,458.5149837133551,478.40671378091855,540.7817589576547
719,Itacoatiara,AM,447.42007246376767,468.84297844546074,452.0745264532986,465.94434782608664,511.1169170476812
720,Itaguaí,RJ,484.0372881355927,512.1280075187973,498.2750939849626,517.7488534396803,585.9586466165414
721,Itaitinga,CE,456.2922813036022,483.08585690515775,476.549584026622,497.3229845626076,534.1098169717138
722,Itaituba,PA,465.61368653421664,494.27327235772304,473.8012195121953,500.350772626932,621.280487804878
723,Itajaí,SC,502.02145270270336,532.6915859255475,514.0213156552772,548.8338963963962,617.3992860785314
724,Itajubá,MG,510.5063012516192,539.4677682578538,520.0509587923312,575.7729391454467,661.6319869441045
725,Itajuípe,BA,478.5061538461538,503.8497058823531,487.8358823529411,501.72615384615403,613.8235294117648
726,Itamaraju,BA,467.43632352941205,496.44267955801075,479.5812154696134,508.8620588235291,590.2762430939226
